ID,Название,Ключи,Данные
1625,щитами,s1~,738621363 663841044 1464139119
1626,урона в,"o!W, qG",3519612145 486047539 3497564520
1627,Бесконечная гроза,"Lm2, ~:",2587073778 557117502 3526871468
1628,"Бесконечные вспышки молний окружают врага каждые {0} сек., накладывая {1:",Iv,1827099376 335741419 3689200082
1629,и нанося {2:,";9, (L",1599498440 3207886473 793478801
1630,Предбоевые ранения,"*%, `A",1785914425 3459868860 3113979875
1631,Мастерство урона,"?-, C;",2413737348 3082322257 2976184953
1632,увеличивает весь наносимый врагу урон на {0:,"oy, G]",2775156714 1175643819 1220997429
1633,Проклятье времени,=/,2515331191 1375236611 878322090
1634,"Выпускает проклятое кольцо, охватывающее врага, которое каждые {0} сек. накладывает стаки",z/w,2887684741 910236128 3346938925
1635,в размере (текущее время боя в секундах х {1:,BV,3578946140 853704626 2086418130
1636,Стойкие раны,"Q}, ?[(",3850020367 1784732061 79883216
1637,Стойкость к ранам,dHFP,3407940869 1904878380 2673727560
1638,Контроль ран,Wk,4246227816 348331789 4076227136
1639,Яростные раны,p:S[,1763204664 3379685008 3129787334
1640,в размере,"nn, ir",3240951078 2725062508 856972984
1641,текущее значение,"vo=, )_",2353336477 36567774 3813282933
1642,Духи-близнецы,"1a, 3#",1167176250 207214143 3334450370
1643,В начале боя призывает {0} дополнительных,CeF,279004904 140036861 1530166624
1644,которые имеют {1:,"em, N.U$!2",3009302413 2428097006 3554189483
1645,основного,"9u, 2s%, (g",2096285903 2815519027 2850535711
1646,Вызов защитника,"jU, d[E",2438352876 3323205080 4062569090
1647,героя впервые опускается ниже {0:,"tg, 4|",2535156059 387800398 1903502346
1648,призывает для защиты {1:,"+], Yj",4061306584 1983673116 1189857901
1649,с {2:,"];, % , Ja",2382666541 4162473059 3184987984
1650,Погребение смерти,b?@,3901569695 1423620529 37092070
1651,В момент смерти,zJ|,4256451783 2214416472 3491218190
1652,"бросается к врагу и взрывается, нанося маг. урон в размере ({0:",,116853352 2516099193 2361687001
1653,Снаряды духа,r?,2148365371 903422129 326142727
1654,"на поле боя, каждые {0} сек. стреляет в противника снарядом, наносящим {1:","A9Q44)'!,  r",3772792080 2787049175 610496983
1655,ед. физ. урона.,K.Xhl,38347228 1141800408 3599750279
1656,Договор с духом,wD,1848826037 2232843252 588490467
1657,Увеличивает максимальное здоровье первого,m[),2153583019 3229985764 1415684749
1658,Изгнание духов,"zq\], _1",3857336203 3829033011 89821355
1659,Снижает максимальное здоровье,"|""B/(",3491359303 26384743 1538955807
1660,Возврат ярости,^cz,2522968211 1744323998 1359956291
1661,"умирает, герой получает","t'U}, vp",780110711 1769920130 3430862901
1662,в размере {1:,"fH, 2fR",417667049 2140225702 1755087904
1663,от максимального здоровья духа.,:VYT|l_!,4242251883 1072942167 1477710773
1664,Пылающая ярость,"K6, w-, SpmO, Mq",2028866084 40088716 135565038
1665,При вхождении в ярость получает {1:,v}`V,1532340398 2712927551 2603275224
1666,Гнева,n~,3585833671 2665262824 1020073143
1667,В состоянии ярости при угрозе смерти тратит {2},"6>U, o]*B, on63",189707786 2841811864 2518807249
1668,для уменьшения урона.,"1A, 30-",1655223209 1254459657 2457718239
1669,Выплеск ярости,"uW,",3038250962 3066048441 2961176808
1670,В состоянии ярости каждые {0} сек. наносит противнику маг.урон равный ({1:,"\(X, WC",2478053780 1346349278 995270101
1671,текущее количество,"I}i>, 1A",927453135 3076854042 3901696231
1672,х {2:,"2<, CK, bF, R@",246845735 4175635882 3245450808
1673,Забудь о боли,,2405237158 1131306088 2493899761
1674,В состоянии ярости снижает получаемый урон на {0:,$2,2387810551 2145580218 2082486347
1675,Усиление гнева,"bX, y&",977554259 1021397184 558260347
1676,Увеличивает продолжительность состояния ярости на {0:,"-W, ho?c",667888299 1380864870 1516325321
1677,сек.,,677228100 3076916754 430675820
1678,Базовая ярость,"2-~, n"", D-",385136448 698463244 3233067844
1679,При получении урона герой получает {0:,xp,787064020 3724539014 2674913565
1680,Цена гнева,"2z, r#z",135614299 44527174 1104520080
1681,Снижает получение,+c,1216085779 153953412 153510856
1682,противником на {0:,Gk,2878901905 1762988847 269566235
1683,Священная Метка Полумесяца,"TQn, shq",598930626 3245774342 2192329509
1684,"сек. выпускает полумесяц во врага, наносящий {1:",Gi,3318942002 2394587339 2942687135
1685,Предбоевое Ускорение," H, h|^",1418205569 831702254 1636222440
1686,В начале боя да,"N%, xN, Cs",2046607084 4141392118 1561442737
1687,т {0:,:T,1879591354 4102518728 1633584706
1688,Заряженная Ракета,"FO|, =-C, +&",1644838583 1656535927 3199784065
1689,"За каждые {0} срабатываний периодической способности запускает ракету, наносящую врагу {1:",,380149681 380635936 75638185
1690,Цикличность,{g,3314946574 4022950989 4113995790
1691,ускорения,"JXDo, W9",2049020978 193527020 3237179625
1692,что автоматически будет примен,jd*,3826875985 3093440211 330976027
1693,н ваш периодический навык с наивысшей эффективностью,"8N, )P",2649977910 771655296 43817937
1694,раз(а).,Q0,4099904906 1271896021 3172360165
1695,Базовое Ускорение,,1785924643 3347269967 3155907526
1696,сек. добавляет себе {1:,S){,51577215 3044395892 335482420
1697,Ускоренная Атака,CTd}A\,345272854 1298915034 424341465
1698,баз.атк,`t,3473595319 723018506 3342346011
1699,Жизненное Ускорение,"\r-, h6, ""`, O?",2012105671 3827174867 516279821
1700,сек. добавляет {1:,"y\,  <7",3477093131 2813286969 1514548939
1701,в зависимости от,"?~], #:",4068926933 57707208 1781202377
1702,не менее {2} стаков.,">), ]3",3433233542 4278054882 3865271101
1703,Морозное Ускорение,Lc)C,1512051537 2969111614 3423621101
1704,Если у врага есть стаки,"<2, zJ, ]X",1168398236 132880545 4089976695
1705,при добавлении себе,"TY, ~=",2972124466 3622320088 4235278004
1706,добавляется дополнительно {1:,~|s,3524326743 2775622049 116855676
1707,стаков.,,2665766892 1191816948 1098049301
1708,Ядовитое Ускорение,"-4, Bi",1183509144 2072465804 3185033204
1709,За каждые {0} слоев вашего,,2161326529 4037450254 2865836105
1710,эффекты,"4L, d8, {eI",2586302070 4128640906 1241932005
1711,на враге срабатывают на {1:,,1263805285 1352209616 56991131
1712,быстрее.,)i=,2246392386 993015067 1073329312
1713,Ускоренный Щит,"8T, MY, Ph",3841581593 769242593 1901366251
1714,т {1} стаков,9d,3426838925 614339191 3329777644
1715,Ускоренный Ультимейт,"}b, [rZlD",2205492255 1123798683 4118757936
1716,Каждый раз при использовании,"eG\], ,no{z",1862644629 4135780507 3787862778
1717,ульты,!}&,1319852918 2506951539 1160670033
1718,Исцеляющее Ускорение,"pI, d], Y&6",3099999689 2290518216 2882795137
1719,Каждый раз при,"@Ad!, T+, pRg",694887802 755846469 3800759641
1720,здоровья с шансом  {0:,"~\, @p",3495148918 2171585409 2335802827
1721,Ускоренная Уязвимость,?:,3892107760 766463366 1283132790
1722,Каждое наложение,")Z, QF, MM",2066349069 4268772692 135692087
1723,на врага с шансом {0:,,1138171589 1798150796 2601290029
1724,Ускоренный Крит,"!l23, tcV",4225836539 2109905314 3063928550
1725,Ускоренное Уклонение,"Q}, lm, "")D, 6`",44442657 568376942 2594366639
1726,Мастерство Ускорения,=wX,870819981 1814814250 3282785923
1727,При гибели,P.,3109678359 1378093622 818357747
1728,т ({0:,"4`:, HP^",2482296331 764680848 2245449834
1729,максимальное здоровье Духа,"EYF, RUd, ^H",1309986266 3172405490 992796364
